Grouping,Year,Score,Year2
Group,2000, 58.1 ,2000
Group,2001, 59.2 ,2001
Group,2002, 59.2 ,2002
Group,2003, 59.6 ,2003
Group,2004, 59.6 ,2004
Group,2005, 59.6 ,2005
Group,2006, 59.9 ,2006
Group,2007, 60.1 ,2007
Group,2008, 60.2 ,2008
Group,2009, 59.5 ,2009
Group,2010, 59.4 ,2010
Group,2011, 59.7 ,2011
Group,2012, 59.5 ,2012
Group,2013, 59.6 ,2013
Group,2014, 60.3 ,2014
Group,2015, 60.4 ,2015
Group,2016, 60.7 ,2016
Group,2017, 60.9 ,2017
Group,2018, 61.1 ,2018
Group,2019, 60.8 ,2019
Group,2020, 61.6 ,2020
Group,2021, 61.6 ,2021
Group,2022, 60.0 ,2022
Group,2023, 59.3 ,2023